Territorialidades;IDHM 2010
São Joaquim do Monte (PE);0,537
São Joaquim (SC);0,687
São Jorge D'Oeste (PR);0,722
São Jorge do Ivaí (PR);0,743
São Jorge do Patrocínio (PR);0,676
São Jorge (RS);0,732
São José da Barra (MG);0,739
São José da Bela Vista (SP);0,693
São José da Boa Vista (PR);0,671
São José da Coroa Grande (PE);0,608
São José da Lagoa Tapada (PB);0,53
São José da Laje (AL);0,573
São José da Lapa (MG);0,729
São José da Safira (MG);0,583
São José das Missões (RS);0,651
São José das Palmeiras (PR);0,713
São José da Tapera (AL);0,527
São José da Varginha (MG);0,704
São José da Vitória (BA);0,546
São José de Caiana (PB);0,565
São José de Espinharas (PB);0,577
São José de Mipibu (RN);0,611
São José de Piranhas (PB);0,591
São José de Princesa (PB);0,565
São José de Ribamar (MA);0,708
São José de Ubá (RJ);0,652
São José do Alegre (MG);0,717
São José do Barreiro (SP);0,684
São José do Belmonte (PE);0,61
São José do Bonfim (PB);0,578
São José do Brejo do Cruz (PB);0,581
São José do Calçado (ES);0,688
São José do Campestre (RN);0,615
São José do Cedro (SC);0,731
São José do Cerrito (SC);0,636
São José do Divino (MG);0,658
São José do Divino (PI);0,565
São José do Egito (PE);0,635
São José do Goiabal (MG);0,666
São José do Herval (RS);0,717
São José do Hortêncio (RS);0,707
São José do Inhacorá (RS);0,747
São José do Jacuípe (BA);0,552
São José do Jacuri (MG);0,566
São José do Mantimento (MG);0,657
São José do Norte (RS);0,623
São José do Ouro (RS);0,755
São José do Peixe (PI);0,573
São José do Piauí (PI);0,552
São José do Povo (MT);0,661
São José do Rio Claro (MT);0,682
São José do Rio Pardo (SP);0,774
São José do Rio Preto (SP);0,797
São José do Sabugi (PB);0,617
São José dos Ausentes (RS);0,663
São José dos Basílios (MA);0,557
São José dos Campos (SP);0,807
São José dos Cordeiros (PB);0,556
São José do Seridó (RN);0,694
São José dos Pinhais (PR);0,758
São José dos Quatro Marcos (MT);0,719
São José dos Ramos (PB);0,541
São José do Sul (RS);0,725
São José do Vale do Rio Preto (RJ);0,66
São José do Xingu (MT);0,657
São José (SC);0,809
São Julião (PI);0,594
São Leopoldo (RS);0,739
São Lourenço da Mata (PE);0,653
São Lourenço da Serra (SP);0,728
São Lourenço do Oeste (SC);0,749
São Lourenço do Piauí (PI);0,595
São Lourenço do Sul (RS);0,687
São Lourenço (MG);0,759
São Ludgero (SC);0,755
São Luís de Montes Belos (GO);0,731
São Luís do Curu (CE);0,62
São Luís do Paraitinga (SP);0,697
São Luis do Piauí (PI);0,554
São Luís do Quitunde (AL);0,536
São Luís Gonzaga do Maranhão (MA);0,54
São Luís (MA);0,768
São Luíz do Norte (GO);0,669
São Luiz Gonzaga (RS);0,741
São Luiz (RR);0,649
São Mamede (PB);0,641
São Manoel do Paraná (PR);0,725
São Manuel (SP);0,744
São Marcos (RS);0,768
São Martinho da Serra (RS);0,652
São Martinho (RS);0,726
São Martinho (SC);0,742
São Mateus do Maranhão (MA);0,616
São Mateus do Sul (PR);0,719
São Mateus (ES);0,735
São Miguel Arcanjo (SP);0,71
São Miguel da Baixa Grande (PI);0,563
São Miguel da Boa Vista (SC);0,71
São Miguel das Matas (BA);0,593
São Miguel das Missões (RS);0,667
São Miguel de Taipu (PB);0,548
São Miguel do Aleixo (SE);0,567
São Miguel do Anta (MG);0,644
São Miguel do Araguaia (GO);0,664
São Miguel do Fidalgo (PI);0,535
São Miguel do Gostoso (RN);0,591
São Miguel do Guamá (PA);0,591
São Miguel do Guaporé (RO);0,646
São Miguel do Iguaçu (PR);0,704
São Miguel do Oeste (SC);0,801
São Miguel do Passa Quatro (GO);0,697
São Miguel dos Campos (AL);0,623
São Miguel dos Milagres (AL);0,591
São Miguel do Tapuio (PI);0,556
São Miguel do Tocantins (TO);0,623
São Miguel (RN);0,606
São Nicolau (RS);0,645
São Patrício (GO);0,693
São Paulo das Missões (RS);0,692
São Paulo de Olivença (AM);0,521
São Paulo do Potengi (RN);0,622
São Paulo (SP);0,805
São Pedro da Água Branca (MA);0,605
São Pedro da Aldeia (RJ);0,712
São Pedro da Cipa (MT);0,66
São Pedro da Serra (RS);0,739
São Pedro das Missões (RS);0,664
São Pedro da União (MG);0,674
São Pedro de Alcântara (SC);0,734
São Pedro do Butiá (RS);0,763
São Pedro do Iguaçu (PR);0,683
São Pedro do Ivaí (PR);0,717
São Pedro do Paraná (PR);0,704
São Pedro do Piauí (PI);0,595
São Pedro dos Crentes (MA);0,6
São Pedro dos Ferros (MG);0,659
São Pedro do Suaçuí (MG);0,622
São Pedro do Sul (RS);0,709
São Pedro do Turvo (SP);0,703
São Pedro (RN);0,589
São Pedro (SP);0,755
São Rafael (RN);0,611
São Raimundo das Mangabeiras (MA);0,61
São Raimundo do Doca Bezerra (MA);0,516
São Raimundo Nonato (PI);0,661
São Roberto (MA);0,516
São Romão (MG);0,64
São Roque de Minas (MG);0,672
São Roque do Canaã (ES);0,7
São Roque (SP);0,768
São Salvador do Tocantins (TO);0,605
São Sebastião (AL);0,549
São Sebastião da Amoreira (PR);0,715
São Sebastião da Bela Vista (MG);0,692
São Sebastião da Boa Vista (PA);0,558
São Sebastião da Grama (SP);0,701
São Sebastião da Vargem Alegre (MG);0,66
São Sebastião de Lagoa de Roça (PB);0,594
São Sebastião do Alto (RJ);0,646
São Sebastião do Anta (MG);0,607
São Sebastião do Caí (RS);0,739
São Sebastião do Maranhão (MG);0,581
São Sebastião do Oeste (MG);0,626
São Sebastião do Paraíso (MG);0,722
São Sebastião do Passé (BA);0,657
São Sebastião do Rio Preto (MG);0,632
São Sebastião do Rio Verde (MG);0,676
São Sebastião do Tocantins (TO);0,573
São Sebastião do Uatumã (AM);0,577
São Sebastião do Umbuzeiro (PB);0,581
São Sebastião (SP);0,772
São Sepé (RS);0,708
São Simão (GO);0,72
São Simão (SP);0,766
São Thomé das Letras (MG);0,667
São Tiago (MG);0,662
São Tomás de Aquino (MG);0,7
São Tomé (PR);0,725
São Tomé (RN);0,585
São Valentim do Sul (RS);0,764
São Valentim (RS);0,72
São Valério do Sul (RS);0,642
São Valério (TO);0,643
São Vendelino (RS);0,754
São Vicente de Minas (MG);0,715
São Vicente do Sul (RS);0,685
São Vicente Ferrer (MA);0,592
São Vicente Ferrer (PE);0,549
São Vicente (RN);0,642
São Vicente (SP);0,768
Sapeaçu (BA);0,614
Sapé (PB);0,569
Sapezal (MT);0,732
Sapiranga (RS);0,711
Sapopema (PR);0,655
Sapucaia do Sul (RS);0,726
Sapucaia (PA);0,59
Sapucaia (RJ);0,675
Sapucaí-Mirim (MG);0,68
Saquarema (RJ);0,709
Sarandi (PR);0,695
Sarandi (RS);0,777
Sarapuí (SP);0,707
Sardoá (MG);0,636
Sarutaiá (SP);0,688
Sarzedo (MG);0,734
Sátiro Dias (BA);0,527
Satuba (AL);0,66
Satubinha (MA);0,493
Saubara (BA);0,617
Saudade do Iguaçu (PR);0,699
Saudades (SC);0,755
Saúde (BA);0,549
Schroeder (SC);0,769
Seabra (BA);0,635
Seara (SC);0,779
Sebastianópolis do Sul (SP);0,773
Sebastião Barros (PI);0,536
Sebastião Laranjeiras (BA);0,615
Sebastião Leal (PI);0,562
Seberi (RS);0,723
Sede Nova (RS);0,712
Segredo (RS);0,659
Selbach (RS);0,777
Selvíria (MS);0,682
Sem-Peixe (MG);0,654
Senador Alexandre Costa (MA);0,538
Senador Amaral (MG);0,661
Senador Canedo (GO);0,701
Senador Cortes (MG);0,674
Senador Elói de Souza (RN);0,583
Senador Firmino (MG);0,644
Senador Georgino Avelino (RN);0,57
Senador Guiomard (AC);0,64
Senador José Bento (MG);0,684
Senador José Porfírio (PA);0,514
Senador La Rocque (MA);0,602
Senador Modestino Gonçalves (MG);0,62
Senador Pompeu (CE);0,619
Senador Rui Palmeira (AL);0,518
Senador Sá (CE);0,603
Senador Salgado Filho (RS);0,693
Sena Madureira (AC);0,603
Sengés (PR);0,663
Senhora de Oliveira (MG);0,631
Senhora do Porto (MG);0,565
Senhora dos Remédios (MG);0,626
Senhor do Bonfim (BA);0,666
Sentinela do Sul (RS);0,671
Sento Sé (BA);0,585
Serafina Corrêa (RS);0,76
Sericita (MG);0,56
Seridó (PB);0,555
Seringueiras (RO);0,598
Sério (RS);0,652
Seritinga (MG);0,66
Seropédica (RJ);0,713
Serra Alta (SC);0,773
Serra Azul de Minas (MG);0,557
Serra Azul (SP);0,686
Serra Branca (PB);0,628
Serra da Raiz (PB);0,626
Serra da Saudade (MG);0,677
Serra de São Bento (RN);0,582
Serra do Mel (RN);0,614
Serra do Navio (AP);0,709
Serra do Ramalho (BA);0,595
Serra dos Aimorés (MG);0,651
Serra do Salitre (MG);0,696
Serra Dourada (BA);0,608
Serra (ES);0,739
Serra Grande (PB);0,586
Serrana (SP);0,729
Serra Negra do Norte (RN);0,597
Serra Negra (SP);0,767
Serrania (MG);0,677
Serrano do Maranhão (MA);0,519
Serranópolis de Minas (MG);0,633
Serranópolis do Iguaçu (PR);0,762
Serranópolis (GO);0,681
Serranos (MG);0,643
Serra Nova Dourada (MT);0,664
Serra Preta (BA);0,566
Serra Redonda (PB);0,57
Serraria (PB);0,547
Serra Talhada (PE);0,661
Serrinha (BA);0,634
Serrinha dos Pintos (RN);0,598
Serrinha (RN);0,592
Serrita (PE);0,595
Serrolândia (BA);0,59
Serro (MG);0,656
Sertaneja (PR);0,725
Sertânia (PE);0,613
Sertanópolis (PR);0,723
Sertão (RS);0,751
Sertão Santana (RS);0,689
Sertãozinho (PB);0,621
Sertãozinho (SP);0,761
Sete Barras (SP);0,673
Sete de Setembro (RS);0,683
Sete Lagoas (MG);0,76
Sete Quedas (MS);0,614
Setubinha (MG);0,542
Severiano de Almeida (RS);0,752
Severiano Melo (RN);0,604
Severínia (SP);0,715
Siderópolis (SC);0,774
Sidrolândia (MS);0,686
Sigefredo Pacheco (PI);0,581
Silva Jardim (RJ);0,654
Silvânia (GO);0,709
Silvanópolis (TO);0,675
Silveira Martins (RS);0,742
Silveirânia (MG);0,652
Silveiras (SP);0,678
Silves (AM);0,632
Silvianópolis (MG);0,699
Simão Dias (SE);0,604
Simão Pereira (MG);0,638
Simões Filho (BA);0,675
Simões (PI);0,575
Simolândia (GO);0,645
Simonésia (MG);0,632
Simplício Mendes (PI);0,627
Sinimbu (RS);0,631
Sinop (MT);0,754
Siqueira Campos (PR);0,704
Sirinhaém (PE);0,597
Siriri (SE);0,609
Sítio D'Abadia (GO);0,617
Sítio do Mato (BA);0,564
Sítio do Quinto (BA);0,533
Sítio Novo do Tocantins (TO);0,604
Sítio Novo (MA);0,564
Sítio Novo (RN);0,572
Sobradinho (BA);0,631
Sobradinho (RS);0,743
Sobrado (PB);0,573
Sobral (CE);0,714
Sobrália (MG);0,631
Socorro do Piauí (PI);0,561
Socorro (SP);0,729
Solânea (PB);0,595
Soledade de Minas (MG);0,697
Soledade (PB);0,616
Soledade (RS);0,731
Solidão (PE);0,585
Solonópole (CE);0,625
Sombrio (SC);0,728
Sonora (MS);0,681
Sooretama (ES);0,662
Sorocaba (SP);0,798
Sorriso (MT);0,744
Sossêgo (PB);0,573
Soure (PA);0,615
Sousa (PB);0,668
Souto Soares (BA);0,592
Sucupira do Norte (MA);0,579
Sucupira do Riachão (MA);0,568
Sucupira (TO);0,667
Sud Mennucci (SP);0,747
Sul Brasil (SC);0,707
Sulina (PR);0,693
Sumaré (SP);0,762
Sumé (PB);0,627
Sumidouro (RJ);0,611
Surubim (PE);0,635
Sussuapara (PI);0,586
Suzanápolis (SP);0,699
Suzano (SP);0,765
Tabaí (RS);0,701
Tabaporã (MT);0,695
Tabapuã (SP);0,735
Tabatinga (AM);0,616
Tabatinga (SP);0,704
Tabira (PE);0,605
Taboão da Serra (SP);0,769
Tabocas do Brejo Velho (BA);0,584
Taboleiro Grande (RN);0,612
Tabuleiro do Norte (CE);0,645
Tabuleiro (MG);0,681
Tacaimbó (PE);0,554
Tacaratu (PE);0,573
Taciba (SP);0,723
Tacima (PB);0,551
Tacuru (MS);0,593
Taguaí (SP);0,709
Taguatinga (TO);0,634
Taiaçu (SP);0,71
Tailândia (PA);0,588
Taiobeiras (MG);0,67
Taió (SC);0,761
Taipas do Tocantins (TO);0,601
Taipu (RN);0,569
Taiúva (SP);0,76
Talismã (TO);0,654
Tamandaré (PE);0,593
Tamarana (PR);0,621
Tambaú (SP);0,731
Tamboara (PR);0,731
Tamboril (CE);0,58
Tamboril do Piauí (PI);0,501
Tanabi (SP);0,748
Tangará da Serra (MT);0,729
Tangará (RN);0,608
Tangará (SC);0,737
Tanguá (RJ);0,654
Tanhaçu (BA);0,577
Tanque D'Arca (AL);0,555
Tanque do Piauí (PI);0,579
Tanque Novo (BA);0,599
Tanquinho (BA);0,597
Taparuba (MG);0,645
Tapauá (AM);0,502
Tapejara (PR);0,703
Tapejara (RS);0,76
Tapera (RS);0,747
Taperoá (BA);0,566
Taperoá (PB);0,578
Tapes (RS);0,695
Tapiraí (MG);0,667
Tapiraí (SP);0,681
Tapira (MG);0,712
Tapiramutá (BA);0,594
Tapira (PR);0,697
Tapiratiba (SP);0,751
Tapurah (MT);0,714
Taquaraçu de Minas (MG);0,651
Taquaral de Goiás (GO);0,716
Taquaral (SP);0,759
Taquarana (AL);0,541
Taquara (RS);0,727
Taquari (RS);0,733
Taquaritinga do Norte (PE);0,641
Taquaritinga (SP);0,748
Taquarituba (SP);0,701
Taquarivaí (SP);0,679
Taquaruçu do Sul (RS);0,739
Taquarussu (MS);0,651
Tarabai (SP);0,726
Tarauacá (AC);0,539
Tarrafas (CE);0,576
Tartarugalzinho (AP);0,592
Tarumã (SP);0,753
Tarumirim (MG);0,633
Tasso Fragoso (MA);0,599
Tatuí (SP);0,752
Tauá (CE);0,633
Taubaté (SP);0,8
Tavares (PB);0,586
Tavares (RS);0,656
Tefé (AM);0,639
Teixeira de Freitas (BA);0,685
Teixeira (PB);0,605
Teixeiras (MG);0,675
Teixeira Soares (PR);0,671
Teixeirópolis (RO);0,643
Tejuçuoca (CE);0,584
Tejupá (SP);0,668
Telêmaco Borba (PR);0,734
Telha (SE);0,604
Tenente Ananias (RN);0,592
Tenente Laurentino Cruz (RN);0,623
Tenente Portela (RS);0,708
Tenório (PB);0,581
Teodoro Sampaio (BA);0,594
Teodoro Sampaio (SP);0,741
Teofilândia (BA);0,566
Teófilo Otoni (MG);0,701
Teolândia (BA);0,555
Teotônio Vilela (AL);0,564
Terenos (MS);0,658
Teresina de Goiás (GO);0,661
Teresina (PI);0,751
Teresópolis (RJ);0,73
Terezinha (PE);0,545
Terezópolis de Goiás (GO);0,685
Terra Alta (PA);0,605
Terra Boa (PR);0,728
Terra de Areia (RS);0,689
Terra Nova (BA);0,578
Terra Nova do Norte (MT);0,698
Terra Nova (PE);0,599
Terra Rica (PR);0,71
Terra Roxa (PR);0,714
Terra Roxa (SP);0,749
Terra Santa (PA);0,635
Tesouro (MT);0,655
Teutônia (RS);0,747
Theobroma (RO);0,589
Tianguá (CE);0,657
Tibagi (PR);0,664
Tibau do Sul (RN);0,645
Tibau (RN);0,635
Tietê (SP);0,778
Tigrinhos (SC);0,717
Tijucas do Sul (PR);0,636
Tijucas (SC);0,76
Timbaúba dos Batistas (RN);0,64
Timbaúba (PE);0,618
Timbé do Sul (SC);0,72
Timbiras (MA);0,537
Timbó Grande (SC);0,659
Timbó (SC);0,784
Timburi (SP);0,71
Timon (MA);0,649
Timóteo (MG);0,77
Tio Hugo (RS);0,742
Tiradentes do Sul (RS);0,689
Tiradentes (MG);0,74
Tiros (MG);0,683
Tobias Barreto (SE);0,557
Tocantínia (TO);0,589
Tocantinópolis (TO);0,681
Tocantins (MG);0,688
Tocos do Moji (MG);0,696
Toledo (MG);0,661
Toledo (PR);0,768
Tomar do Geru (SE);0,551
Tomazina (PR);0,699
Tombos (MG);0,718
Tomé-Açu (PA);0,586
Tonantins (AM);0,548
Toritama (PE);0,618
Torixoréu (MT);0,716
Toropi (RS);0,683
Torre de Pedra (SP);0,714
Torres (RS);0,762
Torrinha (SP);0,744
Touros (RN);0,572
Trabiju (SP);0,722
Tracuateua (PA);0,531
Tracunhaém (PE);0,605
Traipu (AL);0,532
Trairão (PA);0,562
Trairi (CE);0,606
Trajano de Moraes (RJ);0,667
Tramandaí (RS);0,719
Travesseiro (RS);0,701
Tremedal (BA);0,528
Tremembé (SP);0,785
Três Arroios (RS);0,791
Três Barras do Paraná (PR);0,681
Três Barras (SC);0,706
Três Cachoeiras (RS);0,718
Três Corações (MG);0,744
Três Coroas (RS);0,71
Três de Maio (RS);0,759
Três Forquilhas (RS);0,662
Três Fronteiras (SP);0,753
Três Lagoas (MS);0,744
Três Marias (MG);0,752
Três Palmeiras (RS);0,703
Três Passos (RS);0,768
Três Pontas (MG);0,731
Três Ranchos (GO);0,745
Três Rios (RJ);0,725
Treviso (SC);0,774
Treze de Maio (SC);0,729
Treze Tílias (SC);0,795
Trindade do Sul (RS);0,687
Trindade (GO);0,699
Trindade (PE);0,595
Triunfo (PB);0,609
Triunfo (PE);0,67
Triunfo Potiguar (RN);0,602
Triunfo (RS);0,733
Trizidela do Vale (MA);0,606
Trombas (GO);0,653
Trombudo Central (SC);0,775
Tubarão (SC);0,796
Tucano (BA);0,579
Tucumã (PA);0,659
Tucunduva (RS);0,747
Tucuruí (PA);0,666
Tufilândia (MA);0,555
Tuiuti (SP);0,728
Tumiritinga (MG);0,626
Tunápolis (SC);0,752
Tunas do Paraná (PR);0,611
Tunas (RS);0,657
Tuneiras do Oeste (PR);0,695
Tuntum (MA);0,572
Tupaciguara (MG);0,719
Tupanatinga (PE);0,519
Tupanci do Sul (RS);0,694
Tupanciretã (RS);0,709
Tupandi (RS);0,718
Tuparendi (RS);0,728
Tuparetama (PE);0,634
Tupã (SP);0,771
Tupãssi (PR);0,73
Tupi Paulista (SP);0,769
Tupirama (TO);0,67
Tupiratins (TO);0,587
Turiaçu (MA);0,561
Turilândia (MA);0,536
Turiúba (SP);0,751
Turmalina (MG);0,682
Turmalina (SP);0,736
Turuçu (RS);0,629
Tururu (CE);0,606
Turvânia (GO);0,697
Turvelândia (GO);0,691
Turvolândia (MG);0,696
Turvo (PR);0,672
Turvo (SC);0,74
Tutóia (MA);0,561
Uarini (AM);0,527
Uauá (BA);0,605
Ubaí (MG);0,609
Ubaíra (BA);0,582
Ubaitaba (BA);0,611
Ubajara (CE);0,648
Ubá (MG);0,724
Ubaporanga (MG);0,614
Ubarana (SP);0,7
Ubatã (BA);0,593
Ubatuba (SP);0,751
Uberaba (MG);0,772
Uberlândia (MG);0,789
Ubirajara (SP);0,727
Ubiratã (PR);0,739
Ubiretama (RS);0,7
Uchoa (SP);0,721
Uibaí (BA);0,617
Uiramutã (RR);0,453
Uirapuru (GO);0,67
Uiraúna (PB);0,636
Ulianópolis (PA);0,604
Umari (CE);0,591
Umarizal (RN);0,618
Umbaúba (SE);0,579
Umburanas (BA);0,515
Umburatiba (MG);0,638
Umbuzeiro (PB);0,584
Umirim (CE);0,587
Umuarama (PR);0,761
Una (BA);0,56
Unaí (MG);0,736
União da Serra (RS);0,733
União da Vitória (PR);0,74
União de Minas (MG);0,672
União do Oeste (SC);0,705
União dos Palmares (AL);0,593
União do Sul (MT);0,665
União Paulista (SP);0,749
União (PI);0,577
Uniflor (PR);0,72
Unistalda (RS);0,649
Upanema (RN);0,596
Uraí (PR);0,721
Urandi (BA);0,598
Urânia (SP);0,746
Urbano Santos (MA);0,588
Uruaçu (GO);0,737
Uruana de Minas (MG);0,664
Uruana (GO);0,703
Uruará (PA);0,589
Urubici (SC);0,694
Uruburetama (CE);0,639
Urucânia (MG);0,633
Urucará (AM);0,62
Uruçuca (BA);0,616
Urucuia (MG);0,619
Uruçuí (PI);0,631
Urucurituba (AM);0,588
Uruguaiana (RS);0,744
Uruoca (CE);0,566
Urupá (RO);0,609
Urupema (SC);0,699
Urupês (SP);0,745
Uru (SP);0,712
Urussanga (SC);0,772
Urutaí (GO);0,732
Utinga (BA);0,59
Vacaria (RS);0,721
Vale de São Domingos (MT);0,656
Vale do Anari (RO);0,584
Vale do Paraíso (RO);0,627
Vale do Sol (RS);0,624
Valença (BA);0,623
Valença do Piauí (PI);0,647
Valença (RJ);0,738
Valente (BA);0,637
Valentim Gentil (SP);0,735
Vale Real (RS);0,737
Vale Verde (RS);0,646
Valinhos (SP);0,819
Valparaíso de Goiás (GO);0,746
Valparaíso (SP);0,725
Vanini (RS);0,757
Vargeão (SC);0,686
Vargem Alegre (MG);0,631
Vargem Alta (ES);0,663
Vargem Bonita (MG);0,696
Vargem Bonita (SC);0,718
Vargem Grande do Rio Pardo (MG);0,634
Vargem Grande do Sul (SP);0,737
Vargem Grande (MA);0,542
Vargem Grande Paulista (SP);0,77
Vargem (SC);0,629
Vargem (SP);0,699
Varginha (MG);0,778
Varjão de Minas (MG);0,711
Varjão (GO);0,687
Varjota (CE);0,611
Varre-Sai (RJ);0,659
Várzea Alegre (CE);0,629
Várzea Branca (PI);0,553
Várzea da Palma (MG);0,666
Várzea da Roça (BA);0,539
Várzea do Poço (BA);0,575
Várzea Grande (MT);0,734
Várzea Grande (PI);0,571
Várzea Nova (BA);0,555
Várzea Paulista (SP);0,759
Várzea (PB);0,707
Várzea (RN);0,626
Varzedo (BA);0,586
Varzelândia (MG);0,594
Vassouras (RJ);0,714
Vazante (MG);0,742
Venâncio Aires (RS);0,712
Venda Nova do Imigrante (ES);0,728
Venha-Ver (RN);0,555
Ventania (PR);0,65
Venturosa (PE);0,592
Vera Cruz (BA);0,645
Vera Cruz do Oeste (PR);0,699
Vera Cruz (RN);0,587
Vera Cruz (RS);0,737
Vera Cruz (SP);0,754
Vera Mendes (PI);0,503
Vera (MT);0,68
Veranópolis (RS);0,773
Verdejante (PE);0,605
Verdelândia (MG);0,584
Vereda (BA);0,577
Veredinha (MG);0,632
Verê (PR);0,72
Veríssimo (MG);0,667
Vermelho Novo (MG);0,612
Vertente do Lério (PE);0,563
Vertentes (PE);0,582
Vespasiano Correa (RS);0,723
Vespasiano (MG);0,688
Viadutos (RS);0,702
Viamão (RS);0,717
Viana (ES);0,686
Viana (MA);0,618
Vianópolis (GO);0,712
Vicência (PE);0,605
Vicente Dutra (RS);0,638
Vicentina (MS);0,711
Vicentinópolis (GO);0,684
Viçosa (AL);0,586
Viçosa do Ceará (CE);0,571
Viçosa (MG);0,775
Viçosa (RN);0,592
Victor Graeff (RS);0,777
Vidal Ramos (SC);0,7
Videira (SC);0,764
Vieiras (MG);0,668
Vieirópolis (PB);0,571
Vigia (PA);0,617
Vila Bela da Santíssima Trindade (MT);0,645
Vila Boa (GO);0,647
Vila Flores (RS);0,742
Vila Flor (RN);0,576
Vila Lângaro (RS);0,705
Vila Maria (RS);0,761
Vila Nova do Piauí (PI);0,565
Vila Nova dos Martírios (MA);0,581
Vila Nova do Sul (RS);0,662
Vila Pavão (ES);0,681
Vila Propício (GO);0,634
Vila Rica (MT);0,688
Vila Valério (ES);0,675
Vila Velha (ES);0,8
Vilhena (RO);0,731
Vinhedo (SP);0,817
Viradouro (SP);0,739
Virgem da Lapa (MG);0,61
Virgínia (MG);0,651
Virginópolis (MG);0,675
Virgolândia (MG);0,62
Virmond (PR);0,722
Visconde do Rio Branco (MG);0,709
Viseu (PA);0,515
Vista Alegre do Alto (SP);0,744
Vista Alegre do Prata (RS);0,78
Vista Alegre (RS);0,739
Vista Gaúcha (RS);0,757
Vista Serrana (PB);0,566
Vitória Brasil (SP);0,725
Vitória da Conquista (BA);0,678
Vitória das Missões (RS);0,655
Vitória de Santo Antão (PE);0,64
Vitória do Jari (AP);0,619
Vitória do Mearim (MA);0,596
Vitória do Xingu (PA);0,596
Vitória (ES);0,845
Vitorino Freire (MA);0,57
Vitorino (PR);0,702
Vitor Meireles (SC);0,673
Volta Grande (MG);0,669
Volta Redonda (RJ);0,771
Votorantim (SP);0,767
Votuporanga (SP);0,79
Wagner (BA);0,587
Wall Ferraz (PI);0,544
Wanderlândia (TO);0,638
Wanderley (BA);0,6
Wenceslau Braz (MG);0,678
Wenceslau Braz (PR);0,687
Wenceslau Guimarães (BA);0,544
Westfalia (RS);0,752
Witmarsum (SC);0,71
Xambioá (TO);0,671
Xambrê (PR);0,706
Xangri-Lá (RS);0,735
Xanxerê (SC);0,775
Xapuri (AC);0,599
Xavantina (SC);0,749
Xaxim (SC);0,752
Xexéu (PE);0,552
Xinguara (PA);0,646
Xique-Xique (BA);0,585
Zabelê (PB);0,623
Zacarias (SP);0,729
Zé Doca (MA);0,595
Zortéa (SC);0,761
